X,Y
433,434
435,433
436,431
436,430
438,428
443,426
451,424
461,423
474,422
492,421
508,421
527,421
551,420
577,421
605,421
631,421
652,421
671,421
689,422
708,423
726,423
744,424
760,425
776,425
791,426
801,427
813,428
823,430
832,431
838,431
845,433
850,435
855,436
858,436
860,437
857,436
852,435
846,433
840,431
835,431
829,431
819,429
809,427
797,426
783,426
768,425
756,424
742,424
723,423
705,423
686,422
667,421
649,421
629,421
606,420
593,420
578,420
562,420
549,420
537,421
525,421
514,421
502,422
493,422
484,422
476,423
466,423
460,424
454,425
449,424
445,426
442,426
439,427
438,428
437,429
436,429
437,431
437,431
436,432
434,433
434,434
434,434
434,434
436,432
436,430
438,428
444,426
455,423
472,422
494,421
517,421
548,420
583,420
618,420
653,421
678,421
702,422
725,423
751,424
773,425
792,426
810,428
825,430
837,431
845,433
853,436
859,437
863,438
855,435
846,433
837,431
828,430
815,428
800,426
783,425
760,424
738,423
711,422
685,422
660,421
633,420
602,420
575,420
553,420
533,420
515,421
495,421
480,423
468,423
458,424
449,424
443,426
439,427
437,429
437,431
437,432
434,434
434,434
434,434
437,431
439,427
458,423
493,421
541,421
601,420
660,421
708,423
753,424
793,426
824,429
843,432
857,436
862,437
848,434
830,432
804,428
769,424
727,423
684,421
640,420
577,420
528,421
490,421
462,423
444,426
437,429
436,433
434,434
436,430
444,425
473,422
521,421
588,420
658,421
712,423
764,425
807,427
836,431
854,435
862,437
846,433
824,429
790,425
746,424
691,421
639,420
571,421
518,421
475,422
448,425
437,428
437,432
434,434
436,429
448,424
485,421
548,420
629,421
694,422
754,424
803,427
837,431
857,436
862,436
843,431
816,428
771,424
712,422
649,421
573,420
511,421
466,423
442,426
436,431
434,434
434,434
437,429
456,424
507,422
588,421
673,421
742,424
799,426
837,431
857,436
862,436
840,431
807,427
754,424
686,421
609,421
532,421
475,423
443,426
436,431
434,434
443,426
515,420
645,421
754,424
830,431
862,438
823,429
741,423
627,420
503,421
442,426
434,434
434,434
482,422
681,421
831,431
862,436
773,424
583,420
442,427
434,434
551,419
812,427
862,435
701,421
453,423
435,434
597,419
844,432
844,432
606,419
435,433
