X,Y
145,278
143,274
144,274
144,274
143,275
142,275
142,276
142,276
142,277
144,277
146,276
147,276
150,276
153,277
157,278
161,280
165,278
169,278
174,278
182,278
188,278
194,278
201,279
208,280
217,279
225,280
233,280
239,278
249,279
254,281
258,280
262,279
268,280
271,278
276,277
279,278
284,277
288,279
293,278
296,276
300,279
305,277
308,278
312,276
316,277
321,276
327,277
330,277
333,275
337,275
339,275
344,277
349,276
351,276
354,275
357,274
354,274
363,275
364,275
369,276
370,277
374,276
375,275
374,275
378,276
382,274
384,276
384,273
385,275
392,275
393,275
394,274
396,274
399,274
400,274
401,274
402,274
402,274
402,274
403,274
404,274
405,273
404,273
406,272
406,272
406,272
407,272
408,272
407,272
406,272
406,273
404,273
403,273
402,273
402,274
400,274
398,274
395,274
395,274
392,275
387,275
391,275
384,275
386,276
381,275
381,275
379,272
378,275
377,274
371,275
365,276
365,277
365,276
363,276
358,276
355,275
353,275
352,275
349,274
344,275
344,275
340,276
337,275
332,277
329,277
326,278
325,277
320,277
316,277
312,277
307,279
305,279
303,277
300,279
298,279
293,277
291,280
287,277
283,279
281,279
278,278
275,278
270,279
265,279
261,280
257,279
254,281
251,278
247,279
144,276
143,274
144,275
144,275
143,276
142,276
142,277
144,277
146,278
149,277
152,278
158,280
163,276
169,277
177,279
186,278
194,280
205,278
214,279
225,280
237,281
247,281
257,278
266,279
274,281
281,278
286,281
293,279
298,280
305,279
312,277
320,278
327,277
333,277
340,278
346,278
351,275
357,278
361,276
365,275
370,276
373,276
376,275
376,276
385,276
387,276
390,275
394,275
397,274
401,274
402,273
403,273
405,273
406,273
406,272
408,272
408,272
406,272
405,273
404,273
402,273
400,274
397,274
395,275
390,275
387,275
387,275
385,276
380,276
376,277
373,273
368,276
367,277
361,277
356,276
352,277
347,277
341,277
337,278
331,278
326,278
320,278
313,278
310,277
302,278
297,279
291,278
285,278
280,280
274,281
268,281
261,281
254,281
243,281
144,273
144,274
142,274
142,274
142,275
142,276
142,276
142,277
144,277
146,276
149,279
152,279
157,278
163,279
170,280
177,279
185,280
194,282
205,279
213,281
225,279
236,280
249,278
258,280
267,280
275,280
282,277
289,278
296,277
302,278
311,278
316,277
325,277
330,276
337,276
341,275
347,277
352,277
360,275
365,275
370,277
373,274
377,275
380,275
385,275
389,273
393,273
393,275
399,274
401,274
402,274
404,273
405,273
406,272
406,272
408,272
406,272
406,272
404,273
402,273
401,274
395,274
394,274
393,275
390,275
388,275
378,275
380,276
377,276
373,276
369,274
364,276
361,274
352,273
352,275
345,276
340,275
337,275
331,276
325,276
319,277
313,278
309,278
301,278
297,275
290,278
282,278
276,279
269,281
258,278
254,280
245,279
238,281
234,279
232,280
229,278
226,279
223,276
221,280
213,278
209,276
207,277
205,278
201,279
200,280
197,277
194,280
193,278
190,275
189,277
187,278
183,277
180,277
178,277
175,278
172,280
169,277
168,277
166,276
165,277
164,276
162,277
161,277
158,277
158,277
157,278
155,277
154,275
153,277
151,277
150,277
149,277
148,275
149,275
146,276
146,275
146,274
145,277
145,277
144,276
143,276
144,276
142,273
142,276
142,277
142,277
142,277
142,277
142,276
142,277
141,276
142,276
142,276
142,276
142,275
142,275
143,275
143,275
143,274
142,274
142,274
142,274
142,274
142,274
142,274
142,274
142,274
142,274
142,274
142,274
142,274
141,274
142,274
142,274
142,274
145,272
143,274
143,275
142,276
142,277
147,277
155,278
168,279
183,278
202,278
222,280
246,281
266,281
284,280
300,278
317,277
333,278
347,276
361,277
374,277
383,276
388,275
401,274
404,274
407,273
409,271
404,273
400,274
389,274
385,275
375,276
363,275
349,275
333,275
319,277
305,276
287,277
270,279
250,279
229,277
214,279
200,278
189,280
177,279
169,276
161,278
153,276
149,278
146,276
143,278
142,277
142,276
143,275
142,274
143,274
145,273
145,272
142,274
142,275
144,277
154,276
173,279
199,278
232,278
267,281
293,277
320,277
344,277
365,275
381,276
397,274
405,273
408,272
402,274
392,274
378,276
361,276
339,276
315,276
290,278
264,279
231,279
205,278
185,278
166,278
154,278
145,277
141,277
142,275
142,274
145,273
145,272
142,275
141,277
149,277
165,276
194,279
232,280
271,280
302,276
333,277
359,277
381,276
398,274
406,273
408,271
401,274
383,275
365,277
340,277
313,277
285,277
253,281
214,280
187,280
163,278
149,277
143,277
142,275
142,274
145,272
145,272
145,272
144,273
143,273
142,274
142,274
142,274
142,274
143,275
142,275
142,275
142,276
142,276
142,276
141,277
142,277
142,277
143,276
144,276
146,277
146,276
148,277
150,276
152,277
154,278
157,278
160,278
162,279
166,277
170,279
172,278
177,279
182,280
185,279
190,277
194,278
199,280
203,279
209,279
213,279
219,280
225,278
231,278
237,281
243,279
249,280
252,280
255,278
258,279
259,279
262,278
266,281
269,278
271,278
274,279
276,278
279,278
281,278
284,278
285,278
284,278
288,279
291,278
292,277
295,279
297,277
301,278
301,276
305,277
309,275
310,278
313,277
314,276
316,275
319,276
322,277
324,277
326,275
328,275
145,273
142,276
144,277
162,278
199,281
249,282
293,280
333,280
367,277
388,276
405,274
409,272
396,277
375,277
342,280
304,281
260,280
211,282
174,282
150,278
142,279
142,276
146,274
145,273
142,276
146,277
174,282
221,282
277,282
323,280
361,277
388,276
406,274
409,272
392,277
366,277
329,279
285,281
230,283
186,282
154,278
142,277
142,276
